# minichess opening book export
# format_version	1
# store	book
# db_schema_version	2
# eval_version	1
# rows	92678
# sorted by (fen, rank); no timestamp, so an unchanged book re-exports identically
# fen	ply	rank	move	score	depth	eval_version
1B1R2/1b2kp/4n1/6/P5/K1Nr2[] b	11	1	((5, 3), (5, 2), None)	-1000000	9	1
1B1R2/4kp/4n1/6/P5/K1Nr2[b] b	9	1	((2, 4), (0, 3), None)	-1000000	9	1
1B1R2/4kp/5b/P5/6/K1Nr2[N] b	9	1	((1, 4), (0, 3), None)	-2026	10	1
1B1R2/4kp/P5/6/6/K1br2[Nn] b	11	1	((1, 4), (0, 3), None)	-3681	10	1
1B1k2/5p/6/6/P5/K1Nr2[Nbr] b	9	1	((5, 3), (5, 2), None)	-1000000	5	1
1B1k2/5p/6/P5/6/K1Nr2[Nbr] b	9	1	((5, 3), (5, 2), None)	-1000000	5	1
1B1n1k/5p/6/1P4/3Nr1/KR4[b] b	9	1	('drop', 'bB'  , (3, 2))	-1000000	9	1
1B1n1k/5p/6/1r4/1N4/KR4[pb] b	9	1	((3, 1), (3, 0), None)	-1000000	1	1
1B1n1k/5p/6/6/P5/KBr3[nr] b	9	1	('drop', 'bR'  , (2, 1))	-1000000	6	1
1B1n2/2R1kp/5b/P5/6/K1Nr2[] b	9	1	((1, 4), (0, 4), None)	-666	10	1
1B1n2/2R1kp/6/P5/6/K1Nr2[b] b	11	1	((1, 4), (0, 4), None)	-602	10	1
1B1n2/2R1kp/6/P5/K5/2br2[n] b	11	1	((1, 4), (2, 4), None)	-1103	10	1
1B1n2/2R1kp/P5/6/6/K1br2[n] b	11	1	((1, 4), (2, 4), None)	-1639	10	1
1B1n2/2R2p/3k1b/6/P5/K1Nr2[] b	11	1	((2, 3), (2, 4), None)	-669	10	1
1B1n2/2R2p/3k1b/P5/6/K1Nr2[] b	11	1	((0, 3), (2, 2), None)	-817	10	1
1B1n2/2R2p/3k2/6/P5/K1Nr2[b] b	9	1	((2, 3), (2, 4), None)	-469	10	1
1B1n2/2R2p/3k2/P5/6/K1Nr2[b] b	9	1	((2, 3), (2, 4), None)	-469	10	1
1B1n2/2R2p/4k1/6/P5/1KNr2[b] b	11	1	('drop', 'bB'  , (3, 0))	-491	10	1
1B1n2/2R2p/4k1/6/P5/K1Nr2[b] w	10	1	((1, 2), (4, 2), None)	-337	6	1
1B1n2/2R2p/4k1/6/P5/K1Nr2[b] w	10	2	((5, 0), (4, 1), None)	-405	6	1
1B1n2/2R2p/4k1/6/P5/K1Nr2[b] w	10	3	((5, 0), (5, 1), None)	-407	6	1
1B1n2/2R2p/4k1/6/P5/K1Nr2[b] w	10	4	((1, 2), (0, 2), None)	-526	6	1
1B1n2/2R2p/4k1/6/P5/K1Nr2[b] w	10	5	((4, 0), (3, 0), None)	-940	6	1
1B1n2/2R2p/4k1/6/P5/K1Nr2[b] w	10	6	((0, 1), (1, 0), None)	-1361	6	1
1B1n2/2R2p/4k1/6/PK4/2Nr2[b] b	11	1	((5, 3), (4, 3), None)	-504	10	1
1B1n2/2R2p/4k1/P5/1K4/2Nr2[b] b	11	1	('drop', 'bB'  , (2, 3))	-400	10	1
1B1n2/2R2p/4k1/P5/6/1KNr2[b] b	11	1	('drop', 'bB'  , (4, 3))	-464	10	1
1B1n2/2R2p/4k1/P5/6/K1Nr2[b] b	11	1	('drop', 'bB'  , (2, 3))	-873	10	1
1B1n2/2R2p/4k1/P5/6/K1Nr2[b] w	10	1	((5, 0), (4, 0), None)	-339	6	1
1B1n2/2R2p/4k1/P5/6/K1Nr2[b] w	10	2	((5, 0), (4, 1), None)	-608	6	1
1B1n2/2R2p/4k1/P5/6/K1Nr2[b] w	10	3	((1, 2), (4, 2), None)	-673	6	1
1B1n2/2R2p/4k1/P5/6/K1Nr2[b] w	10	4	((1, 2), (0, 2), None)	-737	6	1
1B1n2/2R2p/4k1/P5/6/K1Nr2[b] w	10	5	((5, 0), (5, 1), None)	-737	6	1
1B1n2/2R2p/4k1/P5/6/K1Nr2[b] w	10	6	((3, 0), (2, 0), None)	-800	6	1
1B1n2/2R2p/4k1/P5/K5/2Nr2[b] b	11	1	((5, 3), (4, 3), None)	-618	10	1
1B1n2/2R2p/P3k1/6/6/K1Nr2[b] b	11	1	('drop', 'bB'  , (2, 3))	-750	10	1
1B1n2/4kp/2R2b/P5/6/K1Nr2[] b	9	1	((0, 3), (2, 2), None)	-1000000	6	1
1B1n2/4kp/3b2/2R3/P5/K1Nr2[] b	9	1	((2, 3), (3, 2), None)	-1000000	3	1
1B1n2/4kp/3b2/P1R3/6/K1Nr2[] b	9	1	((2, 3), (3, 2), None)	-1000000	3	1
1B1n2/4kp/5b/6/P1R3/K1Nr2[] b	9	1	((2, 5), (5, 2), None)	-1885	10	1
1B1n2/4kp/5b/P1R3/6/K1Nr2[] b	9	1	((2, 5), (5, 2), None)	-1292	10	1
1B1n2/4kp/5b/P5/2R3/K1Nr2[] b	9	1	((2, 5), (5, 2), None)	-1327	10	1
1B1n2/4kp/6/P1R3/6/K1Nr2[b] b	11	1	((0, 3), (2, 4), None)	-1161	10	1
1B1n2/4kp/6/P1R3/K5/2br2[n] b	11	1	((5, 3), (4, 3), None)	-1263	10	1
1B1n2/4kp/6/P3b1/2R3/K1Nr2[] b	9	1	((3, 4), (0, 1), None)	-1328	10	1
1B1n2/4kp/6/P3r1/B5/1KN3[r] b	9	1	('drop', 'bR'  , (1, 1))	-1823	10	1
1B1n2/4kp/6/P5/1K4/2Rr2[Bn] b	11	1	('drop', 'bN'  , (2, 2))	-827	10	1
1B1n2/4kp/6/P5/2R3/K1Nr2[b] b	11	1	('drop', 'bB'  , (2, 5))	-576	10	1
1B1n2/4kp/6/P5/K1R3/2br2[n] b	11	1	((5, 2), (3, 0), None)	-1287	10	1
1B1n2/4kp/6/PB2r1/6/1KN3[r] b	9	1	((3, 4), (3, 5), None)	-860	10	1
1B1n2/4kp/6/PB3r/1K4/2N3[r] b	11	1	('drop', 'bR'  , (1, 1))	-1822	10	1
1B1n2/4kp/6/PB3r/6/1KN3[r] b	11	1	('drop', 'bR'  , (5, 5))	-1481	10	1
1B1n2/4kp/6/PB3r/6/1KN3[r] w	10	1	((5, 1), (4, 0), None)	-826	6	1
1B1n2/4kp/6/PB3r/6/1KN3[r] w	10	2	((0, 1), (1, 2), None)	-857	6	1
1B1n2/4kp/6/PB3r/6/1KN3[r] w	10	3	((3, 0), (2, 0), None)	-883	6	1
1B1n2/4kp/6/PB3r/6/1KN3[r] w	10	4	((0, 1), (1, 0), None)	-993	6	1
1B1n2/4kp/6/PB3r/6/1KN3[r] w	10	5	((5, 1), (4, 1), None)	-1227	6	1
1B1n2/4kp/6/PB3r/6/1KN3[r] w	10	6	((5, 1), (5, 0), None)	-1329	6	1
1B1n2/4kp/6/PB3r/6/K1N3[r] b	11	1	('drop', 'bR'  , (0, 2))	-1773	10	1
1B1n2/4kp/6/PB3r/K5/2N3[r] b	11	1	('drop', 'bR'  , (5, 4))	-1507	10	1
1B1n2/4kp/P5/1B3r/6/1KN3[r] b	11	1	('drop', 'bR'  , (5, 4))	-1039	10	1
1B1n2/5p/3k1b/6/P1R3/K1Nr2[] b	11	1	((2, 3), (2, 4), None)	-669	10	1
1B1n2/5p/3kb1/P5/2R3/K1Nr2[] b	11	1	((2, 3), (1, 4), None)	-337	10	1
1B1n2/5p/4k1/2R3/P5/K1Nr2[b] b	11	1	('drop', 'bB'  , (0, 5))	-1562	10	1
1B1n2/5p/4k1/6/P1R3/K1Nr2[b] b	11	1	((5, 3), (5, 2), None)	-725	10	1
1B1n2/5p/4k1/P5/2R3/K1Nr2[b] b	11	1	('drop', 'bB'  , (4, 3))	-451	10	1
1B1n2/5p/4kN/4r1/P5/K2B2[r] b	9	1	((3, 4), (5, 4), None)	-1000000	10	1
1B1nk1/2R2p/5b/P5/1K4/2Nr2[] b	11	1	((2, 5), (5, 2), None)	-771	10	1
1B1nk1/2R2p/5b/P5/6/1KNr2[] b	11	1	((2, 5), (3, 4), None)	-671	10	1
1B1nk1/2R2p/5b/P5/6/K1Nr2[] w	10	1	((5, 0), (4, 1), None)	-692	6	1
1B1nk1/2R2p/5b/P5/6/K1Nr2[] w	10	2	((5, 0), (4, 0), None)	-854	6	1
1B1nk1/2R2p/5b/P5/6/K1Nr2[] w	10	3	((3, 0), (2, 0), None)	-854	6	1
1B1nk1/2R2p/5b/P5/6/K1Nr2[] w	10	4	((0, 1), (1, 0), None)	-922	6	1
1B1nk1/2R2p/5b/P5/6/K1Nr2[] w	10	5	((1, 2), (4, 2), None)	-972	6	1
1B1nk1/2R2p/5b/P5/6/K1Nr2[] w	10	6	((5, 0), (5, 1), None)	-1031	6	1
1B1nk1/2R2p/5b/P5/K5/2Nr2[] b	11	1	((2, 5), (5, 2), None)	-1103	10	1
1B1nk1/2R2p/P4b/6/6/K1Nr2[] b	11	1	((2, 5), (5, 2), None)	-1649	10	1
1B1nk1/5p/5b/P1R3/6/1KNr2[] b	11	1	((0, 3), (2, 4), None)	-639	10	1
1B1nk1/5p/5b/P5/2R3/1KNr2[] b	11	1	((0, 3), (2, 4), None)	-578	10	1
1B1nk1/5p/5b/P5/2R3/K1Nr2[] b	11	1	((2, 5), (5, 2), None)	-1513	10	1
1B1nk1/R4p/5b/P5/6/K1Nr2[] b	11	1	((2, 5), (5, 2), None)	-2366	10	1
1B2R1/4kp/4n1/6/P5/K1Nr2[b] b	9	1	((1, 4), (0, 4), None)	-1000000	9	1
1B2rk/3n1p/1R4/6/P5/K1N3[b] b	9	1	('drop', 'bB'  , (3, 2))	-2599	10	1
1B2rk/5p/6/5B/n5/K1R3[pn] b	9	1	((4, 0), (5, 2), None)	-2800	10	1
1B2rk/5p/6/5n/P5/K1R3[nb] b	9	1	((0, 4), (0, 1), None)	-1000000	6	1
1B3R/4kp/4n1/6/P5/K1Nr2[b] b	9	1	((1, 4), (0, 5), None)	-1000000	9	1
1B3k/1n3p/2R3/6/P3r1/K5[nb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
1B3k/1n3p/2r3/6/PK4/1RN3[b] b	11	1	((2, 2), (2, 1), None)	-1608	10	1
1B3k/1n3p/6/1P2r1/5N/K2B2[r] b	9	1	('drop', 'bR'  , (0, 0))	-2317	10	1
1B3k/1n3p/6/6/P5/K1NBr1[r] b	9	1	((5, 4), (5, 3), None)	-1000000	7	1
1B3k/1n3p/6/P5/4r1/K1R3[nb] b	9	1	('drop', 'bN'  , (3, 1))	-1000000	2	1
1B3k/1nR2p/6/6/P3r1/K5[nb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
1B3k/1nr2p/6/6/P1B3/K1N3[r] b	9	1	((1, 2), (4, 2), None)	-1000000	7	1
1B3k/1nr2p/6/6/PK4/1RN3[b] b	9	1	('drop', 'bB'  , (3, 0))	-1026	10	1
1B3k/1nr2p/6/b5/P5/KRN3[] b	11	1	((1, 1), (2, 3), None)	-1000000	6	1
1B3k/1nr2p/6/bK4/P5/1RN3[] b	11	1	((1, 2), (5, 2), None)	-1123	10	1
1B3k/1nr3/4p1/1R4/P5/1KN3[b] b	11	1	((1, 2), (1, 3), None)	-345	10	1
1B3k/5p/1N2n1/6/P3r1/KR4[b] b	9	1	('drop', 'bB'  , (3, 2))	-1000000	2	1
1B3k/5p/4n1/6/P5/KRN1r1[b] b	9	1	('drop', 'bB'  , (3, 2))	-1000000	2	1
1B3k/5p/4r1/4n1/P5/K1NB2[r] b	9	1	((3, 4), (5, 3), None)	-1000000	9	1
